epoch,train_total,train_pos,train_current,train_bias,train_smooth,val_total,val_pos,val_current,val_bias,val_smooth
14,0.11804791070758433,0.0055666885856407895,0.6346419310865935,0.24507361016930013,0.0002304993151710224,0.12299023523019707,0.005943403636280825,0.6343884616416433,0.2680288772725541,0.00022082614333814252
15,0.11733568986059469,0.00550937486384411,0.6336312117003999,0.24230433695903722,0.00023243508817566324,0.12442399373780126,0.006037843496768155,0.6406751096041307,0.2715817349848972,0.00022901910227601942
16,0.11610895924661964,0.005412725543360347,0.6313270282696,0.23780582864906477,0.00023631018033327332,0.12296183988840684,0.005936206279862402,0.6351229701629584,0.2675555059067581,0.00022335151674063956
17,0.11610646828089688,0.005416322282459548,0.6310182293246251,0.23792948140663636,0.00024248408599309316,0.124630009341931,0.006117643143900711,0.6342449555327927,0.27542531031629314,0.0002806445857530217
18,0.11973054091431833,0.0057542313535391175,0.6389106248575215,0.25041163189514826,0.000291869088755506,0.13656841484360072,0.0070294234286993745,0.6624477046019789,0.3164647399135258,0.0001270844586348782
19,0.12498976600330562,0.00614664414371547,0.6438958029263261,0.2722587405258084,0.00017911571598063197,0.12641759292802948,0.00615851404239842,0.6444708021412725,0.27904938037239985,0.00021203174865872099
20,0.12096038672988213,0.005816060436453755,0.6381387428733873,0.2566411772870129,0.0002214417531809193,0.12809021501869394,0.00632294308701935,0.6450820141598799,0.28628600246621216,0.0001867983150464631
21,0.12001187492873111,0.0057386702165994835,0.6366374491272999,0.25303528904371875,0.0002399867577189059,0.12435160741771477,0.006053133093090593,0.6377197749303735,0.27261858416985774,0.0002778076304770682
22,0.11780495011905212,0.005559406147502347,0.6332082399018804,0.2446108917839532,0.000253961810951582,0.12444409702307936,0.006080363928974755,0.6349669756682023,0.2743210632047359,0.0002821287320913288
23,0.11627767979222549,0.005432685053820566,0.6312208030199166,0.23860120449401823,0.00026714746652177767,0.12499817817280258,0.006124559663371116,0.6350653881266497,0.27682303796406244,0.00024698476201139285
24,0.11578502233292498,0.005393272630793214,0.6303426075090286,0.2367737396859234,0.0002739007328834585,0.12445958004136017,0.006104582750926847,0.6339700464096623,0.27477532724992954,0.00029250863022373423
25,0.1149727007588738,0.005333100923608919,0.6285358100460676,0.23391553477544963,0.0002909998920231317,0.1237650453577871,0.006013056755308872,0.6347653070325436,0.27136257966273075,0.0002939773386384806
26,0.114450272408208,0.005291250562229758,0.6275648891140956,0.231997813378802,0.00029683012319834783,0.12616238831782686,0.006243653397683216,0.6323515220655911,0.2834043039044608,0.00027195693344633646
27,0.11673992460929089,0.00546912952160027,0.6326402561965689,0.240021566098768,0.00024542029149778277,0.12679867710324302,0.006295731640137408,0.6333732924530472,0.28581379174192745,0.000285575763369654
28,0.11526925690277763,0.005359584892473297,0.6289506095141851,0.23505827421752068,0.00029542800251059,0.12416824320606563,0.006038517672406591,0.6368706755327141,0.27219497148303884,0.0003661301397799474
29,0.11419377499868164,0.005273499420834378,0.626954605209161,0.2311083767850947,0.00031377276698345275,0.12364302714665731,0.006023982216617552,0.630262364325316,0.27294872513024704,0.00030610920860013667
30,0.11379268447089146,0.0052407091689020335,0.6262429571546629,0.22962270944409735,0.00031357447890898376,0.12380362078072368,0.006057593925302659,0.6305522997690284,0.2734386072603689,0.0003073408118975551
